# ----------------------------------------
# 1 Master View
# Paid Search Traffic
# 20190501-20190531
# ----------------------------------------

Keyword,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration,E-commerce Conversion Rate,Transactions,Revenue
Google Merchandise Store,"1,051",753,"1,455",27.29%,5.62,00:03:41,0.34%,5,US$256.96
(not set),546,346,759,29.78%,5.32,00:03:18,0.13%,1,US$12.99
google merch,103,82,145,28.28%,6.04,00:03:29,2.07%,3,US$86.09
google backpack,95,68,121,40.50%,4.20,00:02:27,0.00%,0,US$0.00
Google Merchandise,93,54,147,28.57%,5.37,00:03:23,0.68%,1,US$79.98
Google Apparel,92,76,127,37.80%,4.97,00:03:11,0.79%,1,US$76.37
youtuber merch,78,76,82,78.05%,1.41,00:00:06,0.00%,0,US$0.00
Google Swag,63,57,80,41.25%,5.10,00:04:14,0.00%,0,US$0.00
google merch store,54,38,69,28.99%,5.09,00:02:33,0.00%,0,US$0.00
Google Clothing,39,36,49,40.82%,3.98,00:02:43,0.00%,0,US$0.00
,"2,539","1,853","3,457",32.51%,5.21,00:03:17,0.40%,14,US$607.60

Day Index,Users
01/05/2019,93
02/05/2019,114
03/05/2019,121
04/05/2019,69
05/05/2019,75
06/05/2019,109
07/05/2019,140
08/05/2019,148
09/05/2019,167
10/05/2019,135
11/05/2019,80
12/05/2019,60
13/05/2019,149
14/05/2019,117
15/05/2019,107
16/05/2019,116
17/05/2019,101
18/05/2019,65
19/05/2019,63
20/05/2019,58
21/05/2019,15
22/05/2019,61
23/05/2019,122
24/05/2019,114
25/05/2019,84
26/05/2019,118
27/05/2019,126
28/05/2019,142
29/05/2019,64
30/05/2019,16
31/05/2019,15
,"2,964"
